"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Create file with empty filename","LMS service","Wed Jan 07 14:43:32 UTC 2026","passed","Wed Jan 07 14:43:32 UTC 2026","Validate entity","Files","",""
"","532","Create user","LMS service","Wed Jan 07 14:43:34 UTC 2026","passed","Wed Jan 07 14:43:34 UTC 2026","Create entity","Users","",""
"","22","Create exercise","LMS service","Wed Jan 07 14:43:28 UTC 2026","passed","Wed Jan 07 14:43:28 UTC 2026","Create entity","Exercises","",""
"","22","Update exercise","LMS service","Wed Jan 07 14:43:29 UTC 2026","passed","Wed Jan 07 14:43:29 UTC 2026","Update entity","Exercises","",""
"","28","Get courses","LMS service","Wed Jan 07 14:43:28 UTC 2026","passed","Wed Jan 07 14:43:28 UTC 2026","Get entities","Courses","",""
"","20","Delete file","LMS service","Wed Jan 07 14:43:34 UTC 2026","passed","Wed Jan 07 14:43:34 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Wed Jan 07 14:43:29 UTC 2026","passed","Wed Jan 07 14:43:29 UTC 2026","Get entity","Exercises","",""
"","28","Create course","LMS service","Wed Jan 07 14:43:27 UTC 2026","passed","Wed Jan 07 14:43:27 UTC 2026","Create entity","Courses","",""
"","26","Delete exercise","LMS service","Wed Jan 07 14:43:30 UTC 2026","passed","Wed Jan 07 14:43:30 UTC 2026","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Wed Jan 07 14:43:35 UTC 2026","passed","Wed Jan 07 14:43:35 UTC 2026","Get entity","Users","",""
"","16","Get exercises","LMS service","Wed Jan 07 14:43:31 UTC 2026","passed","Wed Jan 07 14:43:31 UTC 2026","Get entities","Exercises","",""
"","553","Login with correct email and password","LMS service","Wed Jan 07 14:43:26 UTC 2026","passed","Wed Jan 07 14:43:26 UTC 2026","Login","Authentication","",""
"","14","Get file with incorrect file id","LMS service","Wed Jan 07 14:43:34 UTC 2026","passed","Wed Jan 07 14:43:34 UTC 2026","Validate entity","Files","",""
"","266","Create file","LMS service","Wed Jan 07 14:43:31 UTC 2026","passed","Wed Jan 07 14:43:31 UTC 2026","Create entity","Files","",""
"","303","Update course","LMS service","Wed Jan 07 14:43:26 UTC 2026","passed","Wed Jan 07 14:43:27 UTC 2026","Update entity","Courses","",""
"","14","Get file","LMS service","Wed Jan 07 14:43:32 UTC 2026","passed","Wed Jan 07 14:43:32 UTC 2026","Get entity","Files","",""
"","557","Create user","LMS service","Wed Jan 07 14:43:34 UTC 2026","passed","Wed Jan 07 14:43:35 UTC 2026","Create entity","Users","",""
"","263","Create file with empty directory","LMS service","Wed Jan 07 14:43:33 UTC 2026","passed","Wed Jan 07 14:43:33 UTC 2026","Validate entity","Files","",""
"","297","Create user","LMS service","Wed Jan 07 14:43:34 UTC 2026","passed","Wed Jan 07 14:43:34 UTC 2026","Create entity","Users","",""
